"","Species","Adult_km2","Larval_km2","LarvalProp"
"1","slt",67966445.407438,98754107.1906981,1.45
"2","fri",5781956.14711296,56514905.6522516,9.77
"3","sau",84847785.3449902,55116301.943608,0.65
"4","sail",178166242.623302,56423444.8497856,0.32
"5","strm",178141785.275988,56634965.587291,0.32
"6","skp",178425262.951769,57487079.4177491,0.32
"7","blum",177893629.551159,57261152.8527111,0.32
"8","lesc",1344953.18814725,56839660.5038113,42.26
"9","shos",178141785.275988,56194682.0649575,0.32
"10","alb",178243823.225865,56047918.2721024,0.31
"11","yft",178425262.951769,57744901.6420397,0.32
"12","bet",178425262.951769,57399043.8270582,0.32
"13","sbft",52899420.5030225,56307617.6163377,1.06
"14","bft",130983709.829092,56507178.3845704,0.43
"15","swo",178425262.951769,57154437.8544001,0.32
