species,0,1,2,3,4
a-bluefin-tuna,13171,64,34,5,1
albacore,12736,323,74,115,27
bigeye-tuna,12799,389,50,31,6
blue-marlin,11578,1194,261,218,24
frigate-tuna,12860,247,120,15,33
longfin-escolar,13071,159,24,16,5
sailfish,13060,168,25,14,8
sauries,13109,49,22,40,55
shortbill-spearfish,12719,437,60,54,5
skipjack-tuna,11580,928,293,393,81
slender-tuna,13200,51,6,15,3
southern-bluefin-tuna,13170,83,18,4,NA
striped-marlin,12913,311,24,25,2
swordfish,12758,467,28,20,2
yellowfin-tuna,11948,887,190,226,24
