"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15"
"yft",0.274264704297867,0.433433702302562,0.273875604101722,0.0142322561241769,0.0271701722049904,0.111657401687655,0.114978340215496,0.150355910553815,0.129133330408069,0.102455080830183,0.226444768388318,0.143305852312744,0.136922485654675,0.0449227430822857,0.702081975918877
"skp",0.323480011662063,0.280184595106093,0.319487903821429,0.0944997581828294,0.115465542419734,0.209014625763578,0.119701639841261,0.149415257824207,-0.0978101288393397,0.0473218536951832,0.171677041536716,0.0764296593882132,0.374655623777941,-0.120572189068841,-0.640434676484484
"alb",0.216365257757833,-0.285991763567857,0.0768889296422019,0.226452686111939,0.389826145104712,0.362109025779531,-0.233092642674552,-0.422549056359584,-0.160702081212763,-0.241489087083841,0.309461572394617,-0.265476456028466,-0.0584475398148375,-0.144704184437888,0.153274385710694
"swo",0.372784070501442,-0.187264870267743,-0.109369603178614,-0.133888870851769,-0.0538394152638415,-0.0395372682076292,0.0395544504800868,-0.170165135854296,-0.0659762921727013,-0.0425072570607853,-0.145738320413649,0.689332945125969,-0.140365129550276,-0.487289222106557,0.0368903537608736
"blum",0.336202684724706,-0.0992322820324184,0.215568515217829,0.17901351531786,0.0610034063164597,0.19543249717267,0.0710573547457106,-0.015335542352038,0.190094096870918,0.323411819205164,-0.716116483042783,-0.277763107009619,-0.139889008627008,-0.0035867907199089,0.0334297971955343
"fri",0.0835065501689027,0.333342568976932,-0.533292528980907,0.186102193212067,0.0804613011555843,-0.056227419411081,-0.251001011560461,-0.308488607493436,0.0833136164539937,0.600871806162034,0.135329302077536,-0.00332375871652798,0.043205303615286,-0.0394801180924908,-0.0730317470810347
"bet",0.357113644341285,0.245120026063652,-0.00300414727439685,-0.195379485837406,-0.0802502474013056,-0.0707243944340536,0.0485130923259154,0.0446335660908597,0.170335100415451,-0.126498400352915,0.253407645948369,-0.172920283926475,-0.751641306121748,0.104623474509427,-0.208261028772389
"bft",0.0169884732490156,0.158614544883252,-0.570915469756698,0.370822469998916,0.100877126092029,0.284956499557053,0.47482390915723,0.244330187389149,-0.0602332883407887,-0.335248714278274,-0.116772478472374,-0.016013820363277,-0.0367462563891858,-0.0393232540971529,0.0419409631145211
"sau",-0.0842893579906025,-0.00605235577712053,-0.190454983148304,-0.565680502401447,-0.157358667477189,0.734657761861122,-0.193331865188991,0.146434217539652,-0.000996070074679773,0.108518707503305,-0.0223236648805099,-0.0169064644472204,0.0259339374562252,-0.00689623377383517,0.0023601947335101
"sail",0.225425532893357,0.355323218521916,-0.149328353210551,-0.124379267800007,0.0804957949125069,-0.183992876054595,-0.551930174108579,0.0263680890842083,0.0426354005540066,-0.507179551907912,-0.351250341838151,-0.0725330571446167,0.224925306467596,0.0326937014565475,0.0125475750035896
"sbft",0.29786550351821,-0.165989123806446,-0.196044793784871,-0.333490884943755,-0.2369696910381,-0.222162170320576,0.344645392505028,-0.151696024996565,0.183227498978175,-0.0357423605852865,0.121834962106654,-0.467697315210746,0.375729789190769,-0.27085966522637,0.0616362232245649
"slt",-0.0375032659020507,-0.097086678687096,-0.0912826833975234,-0.380205877167801,0.839829452868094,-0.164964157440571,0.133661904823961,0.212540823670925,0.15839215528607,0.114709874474326,-0.0149239013893772,0.0416188975779371,0.00378203652367837,0.0210335482911336,-0.00740643598292283
"shos",0.153855008209436,-0.388137257210992,-0.103878730095626,0.289793457625673,-0.0927742711292861,-0.0225642933835441,-0.357309612395009,0.585706937708908,0.417797291639384,0.0517485531385039,0.229276653270882,0.00812756399949168,0.0383392626631833,-0.140411028539365,-0.00407332458305997
"strm",0.358233999182756,-0.287936704784594,-0.143760177359337,-0.0198363549671359,-0.0488204109694774,0.0450307190960594,0.0802610030388907,-0.167654828713221,0.0963518346507016,-0.0428961611389907,0.0416677734797505,0.262185203278593,0.184331278218868,0.781278797945148,-0.0525699230635882
"lesc",0.294072494633933,-0.117209954200914,-0.106891927490511,-0.0607193180675971,-0.0235517590742342,-0.175841737999927,-0.0890549127944678,0.359152065997143,-0.789647578425821,0.212468354693586,0.00315227720977244,-0.16067389821986,-0.0460138945209047,0.0771663869118921,0.117006070640966
